"Timestamp","Top Entry (Choice 1)","Add color around your ""Choice 1"".  Why is it important?  Should it be a new, top-level entry or folded into another larger vulnerability as a concept.  Any additional thoughts are welcome","Top Entry (Choice 2)","Add color around your ""Choice 2"".  Why is it important?  Should it be a new, top-level entry or folded into another larger vulnerability as a concept.  Any additional thoughts are welcome","Top Entry (Choice 3)","Add color around your ""Choice 3"".  Why is it important?  Should it be a new, top-level entry or folded into another larger vulnerability as a concept.  Any additional thoughts are welcome","Top Entry (Choice 4)","Add color around your ""Choice 4"".  Why is it important?  Should it be a new, top-level entry or folded into another larger vulnerability as a concept.  Any additional thoughts are welcome","Top Entry (Choice 5)","Add color around your ""Choice 5"".  Why is it important?  Should it be a new, top-level entry or folded into another larger vulnerability as a concept.  Any additional thoughts are welcome","Bottom Choice (Exclude From List)","Add color around your Bottom Choice.  Why is it not appropriate for our list?  Is it wrong?  Is it off-topic? Any additional thoughts are welcome."
"2024/06/18 9:56:50 AM MDT","SupplyChainVulnerabilities","The explosion of open access models and weighs make this a must inclue","VulnerableAutonomousAgents","An emerging area that will redefine Generative AI, a natural step towards AGI we need to cover","FineTuningRag","","DeepfakeThreat","","Overreliancerewrite","","AdversarialAIRedTeamingCyberOps","An initiative not a threat or vulnerability. it is rather the responde to ther items"
"2024/06/18 12:52:22 PM MDT","AdversarialAIRedTeamingCyberOps","","AdversarialInputs","","InsecureDesign","","ModelInversion","","ImproperErrorHandling","","PrivacyViolation","this should be covered in the governane checklists and PII guides, appsec always processes PII and doesnt need an explicit call out"
"2024/06/18 1:01:29 PM MDT","InsecureDesign","","FineTuningRag","","","","","","","","",""
"2024/06/18 1:31:51 PM MDT","IndirectContextInjection","Many agents trust all indirect inputs, this attack can bypass guardrails on input prompt making a more dangerous threat","BackdoorAttacks","This is the major concern of many, if we are talking about LLM adoption in sensitive environments this is one of the major threats","MultimodalInjections","where we face multi modal model this could be an issue","EmbeddingInversion","","SystemPromptLeakage","","FineTuningRag","not a vulnerability about LLM"
"2024/06/18 1:38:38 PM MDT","DeepfakeThreat","it is specific, easy to understand, and most worrisome and wide spread threat with LLM. ","UnauthorizedAccessandEntitlementViolations","with Rag and other tool chain this is definitely top threat ","FunctionCallingAttack","function.call can have Security implications","BackdoorAttacks","","DangerousHallucinations","","ImproperErrorHandling",""
"2024/06/18 11:38:48 PM MDT","AIAssistedSocialEngineering","AI assisted social engineering (along with phishing attacks) are the first layer of attack through which attackers get into the AI system and its data. By preventing this from happening, most of the follow-up attacks can be prevented. This layer has to be as strong as possible not only for AI-based systems, but for all software systems as well (as experienced in the field).","DangerousHallucinations","Although guardrails are being put in place in Transformer Decoder systems such that the decoder does not let its imagination run wild, there is still a whole lot of work that needs to be done in preventing hallucinations. The very nature of a transformer decoder system is to 'generate text' (accurate information or not). It is its nature, so it is up to us to stop it from generating text that is factually incorrect. Wrong/inaccurate information generated can produce huge losses and heartburn to companies that take the LLM's output as trusted and even automate their systems to act based on LLM outputs!","Unwanted-AI-Actions.md","Many of our LLM use cases are centered around addressing information needs about a specific topic or expertise. By using 'general purpose LLMs' for specific tasks, there is a huge risk of false/inaccurate information from being output by the LLMs, leading to losses (financial and legal).","BackdoorAttacks","Training process has to be strictly monitored. Open source models are very vulnerable to these kind of attacks especially.","InsecureDesign","Inaccurate knowledge about AI systems while designing them is a top reason for security-related incidents.","",""
"2024/06/19 4:30:52 AM MDT","DangerousHallucinations","could be folded into other hallucinations but deserves special attention due to overreliance of users.","MaliciousLLMTuner","This deserves own vulnerability. A scan of the LLM for manipulation signs should be available.","MultimodalInjections","Could be bundled to other prompt injections but probably deserves special status due to complexity","SupplyChainVulnerabilities","","Overreliancerewrite","Could be bundled with dangerous hallucinations as it is synergetic to it","",""
"2024/06/19 5:40:04 PM MDT","DangerousHallucinations","Hallucination is one of the corner pieces of generative AI - hate it or love it. So it should be a 1st class citizen in the Top n LLMs. I think the title should be Hallucination & Emergent Behavior. Emergent Behavior is hallucination++, more important in the world of agents - planning et al. 
Second, need to add the view that hallucination is not something that needs to be totally eradicated. So Dangerous Hallucination should be one of the sub elements. May be Contextual Hallucination might be the right title. One reason is that, to get the real value out of Gen AI we need to embrace Hallucination and Emergent behavior (see https://bit.ly/gen-ai-org-surgery, https://bit.ly/hallucination-is-a-feature)
As many of the characteristics depend on the context a catch-all guardrail suppressing hallucination is not a valid solution. For example, while hallucination is not good for deterministic apps, it is an essential component for creative apps like drug discovery, protein folding, marketing, recommendation and so forth","FineTuningRag","The RAG/finetuning component is another corner piece of generative AI - and requires to be a first class citizen.","VulnerableAutonomousAgents","Agents are becoming relevant and need to be addressed at the top level. Planning and action is not at all easy and so this will grow exponentially. We caan combine this with Agent Autonomy Escalation","AlignmentValueMismatch","Alignment Value Mismatch is another corner stone with broader future ramifications. Alignment is the key to Gen AI - at any level or at all levels. So need to be at the top level","AdversarialAIRedTeamingCyberOps","This definitely very important ","","Many of them can be combined"
"2024/06/19 9:47:19 PM MDT","BackdoorAttacks","","IndirectContextInjection","","","","","","","","",""
"2024/06/19 11:25:29 PM MDT","PromptInjection","Definitely the biggest problem facing LLMs at this time. Seeing the rise of guardrails and output protection. ","SupplyChainVulnerabilities","Malicious libraries, Model serialization attacks, biased models from 3rd parties","ResourceExhaustion","Could change denial of service and combine both of the entries into one. ","ModelInversion","This could be combined with Model Theft potentially. ","SystemPromptLeakage","I believe this is a new vector that could expose critical information about the bots original purpose, and aid an attacker in crafting more specific attacks. ","MaliciousLLMTuner","This vulnerability deals specifically with a human in the loop; and borders on insider threat. Besides any additional risk is covered by Supply Chain vulnerabilities . "
